last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Stekelenburg, Maarten,EVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lössl, Jonas,EVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Virgínia,,EVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Schmeichel, Kasper,LEI,5.8,5.8,3.8,4.8,0.0,3.2,4.3,3.5,4.7,3.7,3.3,3.6,3.9,3.7,4.2,3.7,5.0,3.9,5.0,4.0,£5.3,1.094,0.906,0.604,0.660,0.698,0.679,0.698,0.698,0.736,0.755
Jakupovic, Eldin,LEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ward, Danny,LEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Alisson,,LIV,5.4,5.4,5.1,5.2,5.6,5.4,4.6,5.2,6.6,5.5,5.0,5.4,4.9,5.3,3.9,5.1,5.3,5.2,5.5,5.2,£6.2,0.871,0.839,0.871,0.839,0.887,0.871,0.855,0.823,0.839,0.839
Mignolet, Simon,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Adrián,,LIV,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,£4.0,0.100,0.100,0.100,0.100,0.125,0.125,0.125,0.100,0.100,0.100
Lonergan, Andy,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kelleher, Caoimhin,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ederson,,MCI,5.7,5.7,3.1,4.4,0.0,2.9,3.4,3.0,3.0,3.0,4.6,3.3,3.2,3.3,3.4,3.3,2.9,3.3,4.0,3.3,£6.0,0.950,0.733,0.483,0.500,0.500,0.550,0.550,0.550,0.550,0.550
Bravo, Claudio,MCI,0.4,0.4,0.2,0.3,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.7,0.085,0.064,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043
Carson, Scott,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
de Gea, David,MUN,3.5,3.5,3.7,3.6,0.0,2.4,2.9,2.5,4.0,2.8,3.7,3.0,3.1,3.0,2.9,3.0,4.8,3.2,2.8,3.1,£5.4,0.648,0.667,0.444,0.463,0.519,0.556,0.556,0.556,0.593,0.574
Romero, Sergio,MUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Grant, Lee,MUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dubravka, Martin,NEW,3.3,3.3,4.4,3.8,0.0,2.6,3.3,2.8,5.7,3.3,3.3,3.3,3.2,3.3,5.8,3.6,3.6,3.6,4.8,3.7,£5.0,0.660,0.760,0.520,0.560,0.660,0.660,0.660,0.720,0.720,0.740
Darlow, Karl,NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Woodman, Frederick,NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Elliot, Robert,NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Krul, Tim,NOR,2.9,2.9,3.1,3.0,0.0,2.0,2.2,2.0,4.0,2.4,2.6,2.5,4.8,2.8,3.1,2.8,3.5,2.9,2.7,2.9,£4.5,0.644,0.667,0.444,0.444,0.533,0.556,0.622,0.622,0.644,0.644
McGovern, Michael,NOR,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.0,0.050,0.050,0.025,0.050,0.050,0.050,0.050,0.050,0.050,0.050
Fahrmann, Ralf,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mair, Archie,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Eastwood, Jake,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Moore, Simon,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Henderson, Dean,SHU,5.8,5.8,5.5,5.6,0.0,3.8,6.1,4.4,4.2,4.3,4.5,4.4,5.0,4.4,4.9,4.5,5.9,4.7,4.6,4.6,£5.2,1.115,1.077,0.731,0.846,0.827,0.846,0.846,0.865,0.904,0.885
Verrips, Michael,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Forster, Fraser,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
McCarthy, Alex,SOU,4.1,4.1,3.1,3.6,0.0,2.4,2.7,2.5,2.5,2.5,3.2,2.6,2.8,2.6,3.1,2.7,2.8,2.7,2.6,2.7,£4.5,0.911,0.800,0.533,0.556,0.556,0.578,0.578,0.600,0.600,0.600
Gunn, Angus,SOU,0.8,0.8,0.5,0.6,0.0,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,£4.2,0.190,0.143,0.095,0.095,0.119,0.119,0.119,0.119,0.119,0.119
Lewis, Harry,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lloris, Hugo,TOT,0.0,0.0,1.4,0.7,1.7,1.0,0.9,1.0,1.5,1.1,0.8,1.0,0.9,1.0,1.2,1.0,1.1,1.1,0.9,1.0,£5.3,0.000,0.132,0.189,0.189,0.208,0.189,0.189,0.189,0.208,0.189
Gazzaniga, Paulo,TOT,2.3,2.3,3.8,3.0,4.3,3.5,2.7,3.3,4.0,3.4,2.6,3.3,2.9,3.2,3.4,3.2,3.3,3.3,2.9,3.2,£4.2,0.548,0.714,0.833,0.786,0.810,0.786,0.762,0.762,0.786,0.762
