,name,last_name,first_name,Team,Average,Price,Pos,id
88,Neil Taylor,Taylor,Neil,AVL,0.3,4.3,D,24
89,Kortney Hause,Hause,Kortney,AVL,0.3,4.4,D,25
90,Matt Targett,Targett,Matt,AVL,2.8,4.4,D,309
91,Tyrone Mings,Mings,Tyrone,AVL,2.0,4.5,D,445
92,Konsa,Konsa,,AVL,0.6,4.3,D,452
93,Bjorn Engels,Engels,Bjorn,AVL,2.1,4.4,D,455
94,Frederic Guilbert,Guilbert,Frederic,AVL,1.6,4.4,D,458
95,Steve Cook,Steve Cook,,BOU,1.7,5.0,D,58
96,Nathan Ake,Ake,Nathan,BOU,2.9,4.8,D,59
97,Charlie Daniels,Daniels,Charlie,BOU,0.0,4.2,D,60
98,Chris Mepham,Mepham,Chris,BOU,0.3,4.3,D,61
99,Simon Francis,Francis,Simon,BOU,0.3,4.4,D,62
100,Adam Smith,Adam Smith,,BOU,1.8,4.3,D,63
101,Lloyd Kelly,Kelly,Lloyd,BOU,0.0,4.4,D,64
102,Diego Rico,Rico,Diego,BOU,2.7,4.2,D,65
103,Jack Simpson,Simpson,Jack,BOU,0.1,4.0,D,66
104,Jack Stacey,Stacey,Jack,BOU,0.6,4.3,D,446
105,Shane Duffy,Duffy,Shane,BHA,0.7,4.8,D,37
106,Martin Montoya,Montoya,Martin,BHA,1.9,4.4,D,38
107,Fernandes da Silva Junior Bernardo,Bernardo,Fernandes da Silva Junior,BHA,0.3,4.3,D,39
108,Leon Balogun,Balogun,Leon,BHA,0.0,4.4,D,40
109,Gaetan Bong,Bong,Gaetan,BHA,0.0,4.2,D,41
110,Lewis Dunk,Dunk,Lewis,BHA,2.9,4.8,D,42
111,Matthew Clarke,Clarke,Matthew,BHA,0.0,4.4,D,43
112,Dan Burn,Burn,Dan,BHA,1.6,4.5,D,475
113,Adam Webster,Webster,Adam,BHA,2.4,4.4,D,493
114,Tudor Baluta,Baluta,Tudor,BHA,0.0,4.0,D,536
115,Ezequiel Schelotto,Schelotto,Ezequiel,BHA,0.1,4.0,D,546
116,Tariq Lamptey,Lamptey,Tariq,BHA,0.0,4.0,D,586
117,Ben Mee,Mee,Ben,BUR,3.0,5.0,D,83
118,James Tarkowski,Tarkowski,James,BUR,3.8,5.1,D,84
119,Matthew Lowton,Lowton,Matthew,BUR,1.2,4.2,D,85
120,Phil Bardsley,Bardsley,Phil,BUR,1.2,4.3,D,86
121,Charlie Taylor,Taylor,Charlie,BUR,3.5,4.3,D,87
122,Kevin Long,Long,Kevin,BUR,0.0,4.3,D,88
123,Ben Gibson,Gibson,Ben,BUR,0.0,3.9,D,89
124,Erik Pieters,Pieters,Erik,BUR,1.0,4.2,D,447
125,Anthony Driscoll-Glennon,Driscoll-Glennon,Anthony,BUR,0.0,3.9,D,572
126,Abd-Al-Ali Morakinyo Olaposi Koiki,Koiki,Abd-Al-Ali Morakinyo Olaposi,BUR,0.0,4.0,D,596
127,Marcos Alonso,Alonso,Marcos,CHE,2.2,6.0,D,103
128,Antonio Rudiger,Rudiger,Antonio,CHE,0.8,6.0,D,104
129,Cesar Azpilicueta,Azpilicueta,Cesar,CHE,3.1,5.8,D,105
130,Emerson,Emerson,,CHE,0.3,5.4,D,107
131,Andreas Christensen,Christensen,Andreas,CHE,0.8,4.9,D,108
132,Davide Zappacosta,Zappacosta,Davide,CHE,0.0,4.3,D,109
133,Kurt Zouma,Zouma,Kurt,CHE,1.3,4.7,D,459
134,Reece James,James,Reece,CHE,1.0,5.0,D,506
135,Fikayo Tomori,Tomori,Fikayo,CHE,3.1,4.3,D,529
136,Addji Keaninkin Marc-Israel Guehi,Guehi,Addji Keaninkin Marc-Israel,CHE,0.0,4.0,D,545
137,Patrick van Aanholt,van Aanholt,Patrick,CRY,4.3,5.5,D,123
138,James Tomkins,Tomkins,James,CRY,2.0,5.0,D,124
139,Mamadou Sakho,Sakho,Mamadou,CRY,0.1,5.0,D,125
140,Joel Ward,Ward,Joel,CRY,1.6,4.3,D,126
141,Scott Dann,Dann,Scott,CRY,0.6,4.3,D,127
142,Martin Kelly,Kelly,Martin,CRY,3.6,4.2,D,128
143,Gary Cahill,Cahill,Gary,CRY,2.7,4.4,D,503
144,Sam Woods,Woods,Sam,CRY,0.0,4.0,D,578
145,Tyrick Mitchell,Mitchell,Tyrick,CRY,0.0,4.0,D,579
146,Lucas Digne,Digne,Lucas,EVE,2.7,5.8,D,141
147,Yerry Mina,Mina,Yerry,EVE,2.5,5.3,D,142
148,Michael Keane,Keane,Michael,EVE,2.2,5.2,D,143
149,Seamus Coleman,Coleman,Seamus,EVE,0.6,5.3,D,144
150,Leighton Baines,Baines,Leighton,EVE,0.2,4.9,D,145
