last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Vrancic, Mario,NOR,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£6.2,0.048,0.048,0.032,0.032,0.032,0.032,0.048,0.048,0.048,0.048
Buendía, Emiliano,NOR,0.0,0.0,2.7,1.4,0.0,0.9,2.1,1.2,3.0,1.6,2.1,1.6,2.7,1.8,1.8,1.8,3.2,2.0,1.4,1.9,£6.0,0.000,0.233,0.150,0.200,0.267,0.267,0.300,0.300,0.333,0.317
Hernández, Onel,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.8,0.2,0.6,0.2,£5.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.038,0.038
Stiepermann, Marco,NOR,0.5,0.5,0.5,0.5,0.0,0.3,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,£5.1,0.098,0.098,0.059,0.078,0.078,0.078,0.078,0.078,0.078,0.078
McLean, Kenny,NOR,2.0,2.0,1.8,1.9,0.0,1.3,1.3,1.3,2.0,1.4,1.3,1.4,1.7,1.4,1.1,1.4,2.1,1.5,1.1,1.4,£4.8,0.417,0.396,0.271,0.271,0.292,0.292,0.292,0.292,0.313,0.292
Cantwell, Todd,NOR,4.0,4.0,3.6,3.8,0.0,2.5,2.9,2.6,3.9,2.9,2.8,2.9,3.5,3.0,2.5,2.9,4.1,3.0,1.9,2.9,£4.8,0.833,0.792,0.521,0.542,0.604,0.604,0.625,0.604,0.625,0.604
Leitner, Moritz,NOR,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£4.3,0.070,0.070,0.047,0.047,0.047,0.047,0.070,0.070,0.070,0.070
Tettey, Alexander,NOR,2.3,2.3,2.0,2.2,0.0,1.4,1.6,1.5,2.3,1.6,1.5,1.6,2.0,1.7,1.3,1.6,2.4,1.7,1.2,1.7,£4.5,0.511,0.489,0.311,0.333,0.356,0.356,0.378,0.356,0.378,0.378
Trybull, Tom,NOR,0.4,0.4,0.4,0.4,0.0,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,£4.4,0.091,0.091,0.068,0.068,0.068,0.068,0.068,0.091,0.091,0.091
Roberts, Patrick,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
