last_name,first_name,Team,26,Average,27,Average,28,Average,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Benkovic, Filip,LEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Robertson, Andrew,LIV,6.0,6.0,7.0,6.5,5.6,6.2,6.2,6.2,6.2,6.2,6.5,6.2,5.6,6.2,7.4,6.3,5.9,6.3,5.7,6.2,4.9,6.1,6.3,6.1,6.4,6.1,£7.0,0.857,0.929,0.886,0.886,0.886,0.886,0.886,0.900,0.900,0.886,0.871,0.871,0.871
Alexander-Arnold, Trent,LIV,7.3,7.3,8.1,7.7,6.8,7.4,7.6,7.4,7.3,7.4,8.0,7.5,6.9,7.4,8.5,7.6,7.2,7.5,7.0,7.5,6.1,7.3,7.7,7.4,7.4,7.4,£7.7,0.948,1.000,0.961,0.961,0.961,0.974,0.961,0.987,0.974,0.974,0.948,0.961,0.961
van Dijk, Virgil,LIV,6.0,6.0,7.0,6.5,5.6,6.2,6.2,6.2,6.2,6.2,6.5,6.2,5.6,6.2,7.4,6.3,5.9,6.3,5.7,6.2,4.9,6.1,6.3,6.1,6.4,6.1,£6.5,0.923,1.000,0.954,0.954,0.954,0.954,0.954,0.969,0.969,0.954,0.938,0.938,0.938
Gomez, Joseph,LIV,4.7,4.7,5.9,5.3,4.3,5.0,4.9,5.0,4.8,4.9,5.2,5.0,4.3,4.9,6.2,5.0,4.6,5.0,4.4,4.9,3.8,4.8,5.0,4.8,5.4,4.9,£5.3,0.887,1.000,0.943,0.943,0.925,0.943,0.925,0.943,0.943,0.925,0.906,0.906,0.925
Matip, Joel,LIV,0.7,0.7,1.0,0.8,0.6,0.8,0.7,0.8,0.7,0.7,0.8,0.8,0.6,0.7,1.3,0.8,0.7,0.8,0.6,0.8,0.6,0.8,0.7,0.7,0.9,0.8,£5.2,0.135,0.154,0.154,0.154,0.135,0.154,0.135,0.154,0.154,0.154,0.154,0.135,0.154
Lovren, Dejan,LIV,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£5.3,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057
Firmino, Roberto,LIV,6.0,6.0,6.1,6.0,5.5,5.9,6.2,6.0,5.0,5.8,6.1,5.8,6.1,5.9,6.6,6.0,5.5,5.9,5.9,5.9,5.4,5.9,5.9,5.9,4.5,5.8,£9.7,0.619,0.619,0.608,0.619,0.598,0.598,0.608,0.619,0.608,0.608,0.608,0.608,0.598
Origi, Divock,LIV,2.5,2.5,2.4,2.4,2.0,2.3,2.5,2.4,1.8,2.2,2.4,2.3,2.4,2.3,2.7,2.3,2.0,2.3,2.3,2.3,2.0,2.3,2.3,2.3,1.6,2.2,£5.2,0.481,0.462,0.442,0.462,0.423,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.423
Alisson,,LIV,5.5,5.5,6.6,6.0,5.1,5.7,5.7,5.7,5.7,5.7,6.0,5.8,5.1,5.7,6.9,5.8,5.4,5.8,5.2,5.7,4.5,5.6,5.8,5.6,6.0,5.7,£6.1,0.902,0.984,0.934,0.934,0.934,0.951,0.934,0.951,0.951,0.934,0.918,0.918,0.934
Mignolet, Simon,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Salah, Mohamed,LIV,8.6,8.6,9.2,8.9,9.3,9.0,10.2,9.3,8.7,9.2,9.6,9.3,7.3,9.0,9.6,9.1,9.0,9.1,10.1,9.2,9.5,9.2,8.7,9.2,9.1,9.1,£12.8,0.672,0.695,0.703,0.727,0.719,0.727,0.703,0.711,0.711,0.719,0.719,0.719,0.711
Mané, Sadio,LIV,7.4,7.4,8.0,7.7,8.3,7.9,9.2,8.2,7.6,8.1,8.4,8.2,6.3,7.9,8.4,8.0,7.8,7.9,9.1,8.0,8.3,8.1,7.5,8.0,8.1,8.0,£12.2,0.607,0.631,0.648,0.672,0.664,0.672,0.648,0.656,0.648,0.656,0.664,0.656,0.656
Chamberlain,,LIV,1.2,1.2,1.3,1.2,1.4,1.3,1.7,1.4,1.2,1.4,1.4,1.4,1.0,1.3,1.4,1.3,1.3,1.3,1.7,1.4,1.4,1.4,1.2,1.3,1.4,1.4,£6.2,0.194,0.194,0.210,0.226,0.226,0.226,0.210,0.210,0.210,0.226,0.226,0.210,0.226
Shaqiri, Xherdan,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.1,0.3,0.1,0.3,0.1,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,£6.3,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.016,0.032,0.032,0.032,0.032
Lallana, Adam,LIV,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,£5.7,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
Keita, Naby,LIV,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,£5.8,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Fabinho,,LIV,0.8,0.8,0.8,0.8,0.9,0.8,1.1,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.9,1.1,0.9,0.9,0.9,0.8,0.9,0.9,0.9,£5.4,0.148,0.148,0.148,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167
Henderson, Jordan,LIV,3.5,3.5,3.9,3.7,4.0,3.8,4.7,4.0,3.6,3.9,4.1,4.0,2.9,3.8,4.1,3.9,3.7,3.8,4.6,3.9,4.0,3.9,3.6,3.9,4.0,3.9,£5.5,0.636,0.673,0.691,0.727,0.709,0.727,0.691,0.709,0.691,0.709,0.709,0.709,0.709
Wijnaldum, Georginio,LIV,2.1,2.1,2.4,2.2,2.5,2.3,2.9,2.5,2.2,2.4,2.5,2.4,1.7,2.3,2.5,2.4,2.3,2.3,2.9,2.4,2.5,2.4,2.1,2.4,2.4,2.4,£5.4,0.389,0.407,0.426,0.463,0.444,0.444,0.426,0.444,0.426,0.444,0.444,0.444,0.444
Milner, James,LIV,0.9,0.9,1.0,1.0,1.1,1.0,1.3,1.1,0.9,1.0,1.1,1.0,0.9,1.0,1.1,1.0,0.9,1.0,1.3,1.1,1.0,1.0,0.9,1.0,1.0,1.0,£5.3,0.170,0.189,0.189,0.208,0.189,0.189,0.189,0.189,0.189,0.208,0.189,0.189,0.189
Camacho, Rafael,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brewster, Rhian,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Adrián,,LIV,0.5,0.5,0.7,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.6,£4.0,0.125,0.150,0.150,0.150,0.125,0.125,0.125,0.150,0.150,0.150,0.150,0.150,0.150
Lonergan, Andy,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kelleher, Caoimhin,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Elliott, Harvey,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jones, Curtis,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Williams, Neco,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Phillips, Nathaniel,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Minamino, Takumi,LIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£6.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Laporte, Aymeric,MCI,0.0,0.0,0.3,0.2,0.0,0.1,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,£6.3,0.000,0.032,0.016,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.048
Walker, Kyle,MCI,4.0,4.0,2.9,3.4,0.0,2.3,2.6,2.4,2.8,2.5,3.1,2.6,3.1,2.6,2.9,2.7,4.2,2.8,3.0,2.9,3.2,2.9,2.7,2.9,3.6,2.9,£5.7,0.702,0.596,0.404,0.421,0.439,0.456,0.456,0.474,0.491,0.509,0.509,0.509,0.509
Mendy, Benjamin,MCI,4.2,4.2,3.0,3.6,0.0,2.4,2.8,2.5,3.0,2.6,3.3,2.7,3.2,2.8,3.1,2.8,4.4,3.0,3.1,3.0,3.3,3.0,2.9,3.0,3.8,3.1,£5.5,0.764,0.655,0.436,0.455,0.473,0.491,0.509,0.509,0.545,0.545,0.545,0.545,0.564
Zinchenko, Oleksandr,MCI,0.0,0.0,0.6,0.3,0.0,0.2,0.6,0.3,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.4,1.0,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.7,0.5,£5.2,0.000,0.058,0.038,0.058,0.077,0.077,0.077,0.077,0.096,0.096,0.096,0.096,0.096
Stones, John,MCI,2.2,2.2,1.5,1.8,0.0,1.2,1.3,1.2,1.4,1.3,1.6,1.3,1.6,1.4,1.5,1.4,2.3,1.5,1.5,1.5,1.6,1.5,1.4,1.5,1.9,1.5,£5.3,0.415,0.340,0.226,0.226,0.245,0.245,0.264,0.264,0.283,0.283,0.283,0.283,0.283
Otamendi, Nicolás,MCI,4.7,4.7,3.4,4.0,0.0,2.7,3.2,2.8,3.4,2.9,3.7,3.1,3.7,3.2,3.5,3.2,4.9,3.4,3.5,3.4,3.8,3.4,3.3,3.4,4.3,3.5,£5.0,0.940,0.800,0.540,0.560,0.580,0.620,0.640,0.640,0.680,0.680,0.680,0.680,0.700
Danilo,,MCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Agüero, Sergio,MCI,8.8,8.8,7.5,8.2,0.0,5.4,7.8,6.0,8.7,6.6,8.4,6.9,7.1,6.9,9.0,7.2,8.2,7.3,8.1,7.4,8.9,7.5,8.2,7.6,9.1,7.7,£12.1,0.727,0.678,0.446,0.496,0.545,0.570,0.570,0.595,0.603,0.612,0.620,0.628,0.636
